root,BaseCategory,Keywords,CandidateKeywords
7 up,7 up,7 up,7 ups|7 up
abalone,abalone,ormeau|abulon|abalone|haliotis,ormeau|haliotis|abalones|halioti|abulon|abalone|ormeaus|abulons
abiyuch,abiyuch,crateva religiosa|abiyuch,abiyuch|abiyuches|cratevas religiosas|crateva religiosa|crateva religiosas
absolut citron vodka,vodka,absolut citron vodka,absolut citron vodka|absolut citron vodkas|absoluts citrons vodkas
accent,accent,accent,accents|accent
acerola,acerola,aberola|acerola|malpighia emarginata,malpighias emarginatas|acerolas|aberola|malpighia emarginata|malpighia emarginatas|acerola|aberolas
achillea,achillea,achillea|achilleas,achillea|achilleas
achiote,achiote,achiote,achiotes|achiote
ackee,ackee,ackee,ackees|ackee
acorn,acorn,quercus|acorn|bellota|ghianda|gland,quercus|acorn|bellota|ghianda|quercu|bellotas|ghiandas|glands|acorns|gland
acorn squash,squash,acorn squash|bellota|courge a glands|squash di ghianda,courge a gland|squash di ghiandas|squash di ghianda|courges a glands|courge a glands|acorns squashes|bellota|acorn squashes|bellotas|acorn squash|squashes dis ghiandas
adobo,adobo,adobo,adobo|adoboes
adobo sauce,adobo sauce,adobo sauce,adoboes sauces|adobo sauce|adobo sauces
adzuki bean,bean,vigna angularis|haricot adzuki|adzuki beans|adzuki bean|bean adzuki|fagiolo adzuki,vigna angularis|haricots adzukis|adzukis beans|haricot adzuki|fagiolo adzukis|bean adzukis|vigna angulari|vignas angularis|adzuki beans|haricot adzukis|adzuki bean|bean adzuki|fagioloes adzukis|fagiolo adzuki|beans adzukis
agar,agar,eucheuma|agar|gelose,geloses|agars|eucheuma|eucheumas|agar|gelose
agave,agave,agave,agave|agaves
agave nectar,agave,agave nectar,agave nectars|agave nectar|agaves nectars
ahi,ahi,ahi,ahi|ahis
aioli,aioli,aioli,aioli|aiolis
ajwain,ajwain,carom seed|ajwain,carom seeds|carom seed|caroms seeds|ajwain|ajwains
akutaq,akutaq,akutaq,akutaq|akutaqs
